host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,minimum_nights,availability_30,availability_60,availability_90,availability_365,instant_bookable,cancellation_policy
within an hour,100%,100%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.31779833,-71.1040344,t,House,Private room,5,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$88.00 ,$200.00 ,$45.00 ,2,13,31,51,326,t,strict
within a few hours,100%,93%,f,2,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.32411924,-71.10669945,f,House,Private room,3,1,1,2,Real Bed,"{""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher""}",$95.00 ,,$35.00 ,2,6,25,39,39,f,flexible
within a few hours,100%,100%,f,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Jamaica Plain,42.30957368,-71.10629241,t,House,Entire home/apt,2,1.5,1,1,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$135.00 ,,$50.00 ,5,0,0,0,0,f,strict
within a day,100%,100%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.3023644,-71.11490982,t,House,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$135.00 ,$200.00 ,$30.00 ,2,4,16,36,284,f,moderate
within a few hours,100%,90%,t,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Jamaica Plain,42.31167891,-71.10613378,t,Bed & Breakfast,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Cat(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$75.00 ,,$20.00 ,2,4,16,39,305,f,flexible
within a few hours,100%,94%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.3177898,-71.10489693,f,House,Entire home/apt,5,1,2,4,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",Breakfast,""Pets live on this property"",Dog(s),""Hot Tub"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$189.00 ,,$30.00 ,1,7,36,66,341,f,strict
within an hour,100%,95%,t,1,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.30509466,-71.11347198,t,House,Private room,2,1,1,1,Real Bed,"{""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",$75.00 ,,,2,0,11,41,41,f,flexible
within a day,100%,69%,f,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Jamaica Plain,42.30979784,-71.10174213,f,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Pets live on this property"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$55.00 ,,$55.00 ,2,14,38,68,343,f,moderate
within an hour,100%,78%,f,8,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.30514213,-71.10732686,t,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",Essentials}",$125.00 ,$200.00 ,$60.00 ,1,29,59,89,364,f,moderate
within an hour,100%,100%,t,3,"['email', 'phone', 'reviews', 'jumio']",t,t,Jamaica Plain,42.29982378,-71.1125722,t,Condominium,Private room,1,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$88.00 ,,,28,5,35,36,156,f,moderate
within a few hours,78%,82%,f,6,"['email', 'phone', 'reviews', 'jumio']",t,t,Jamaica Plain,42.31408312,-71.09973817,t,Apartment,Private room,1,1,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector""}",$72.00 ,,,7,30,60,90,365,f,flexible
within an hour,67%,100%,f,1,"['email', 'phone', 'reviews']",t,f,Jamaica Plain,42.30731115,-71.10339731,f,Apartment,Shared room,1,1,1,1,Real Bed,"{TV,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$22.00 ,,,1,23,53,83,358,f,flexible
within an hour,100%,100%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.2909887,-71.1127371,t,House,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Free Parking on Premises"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$90.00 ,,,2,14,33,63,338,f,moderate
N/A,N/A,N/A,f,1,"['email', 'phone', 'facebook', 'reviews']",t,f,Jamaica Plain,42.31158243,-71.11170823,t,Apartment,Private room,2,2,1,1,Pull-out Sofa,"{TV,Kitchen,""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher""}",$150.00 ,,,1,0,0,0,0,f,flexible
within a few hours,100%,0%,f,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'kba']",t,t,Jamaica Plain,42.30866054,-71.10156432,t,Apartment,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",$82.00 ,,,2,0,0,4,4,f,flexible
within a few hours,70%,75%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.32137451,-71.1060596,t,House,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$84.00 ,$500.00 ,$20.00 ,3,0,0,0,195,f,moderate
within a day,50%,100%,f,1,"['email', 'phone', 'reviews']",t,f,Jamaica Plain,42.30516878,-71.11290753,t,Apartment,Entire home/apt,4,1,2,2,Real Bed,"{""Air Conditioning"",Kitchen,""Pets Allowed"",Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",$160.00 ,,,1,0,0,0,0,f,flexible
N/A,N/A,N/A,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.32002043,-71.10459796,t,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$110.00 ,"$1,000.00 ",$80.00 ,7,0,0,0,0,f,strict
within a few hours,100%,86%,t,1,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.3069432,-71.11401575,t,Apartment,Entire home/apt,4,1,2,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",$150.00 ,,$75.00 ,2,0,1,7,116,f,moderate
within a few hours,100%,100%,f,1,"['email', 'phone', 'reviews']",t,f,Jamaica Plain,42.29366808,-71.11789414,t,Condominium,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,Iron}",$80.00 ,,,2,29,59,89,89,f,strict
within an hour,100%,92%,f,2,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.31881359,-71.10321897,t,Apartment,Entire home/apt,5,1,2,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$225.00 ,$500.00 ,$100.00 ,3,6,33,63,153,f,strict
within a few hours,100%,94%,f,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Jamaica Plain,42.30601751,-71.10953839,t,Apartment,Private room,2,1.5,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",""translation missing: en.hosting_amenity_49""}",$65.00 ,,,3,0,4,30,305,f,moderate
within an hour,90%,100%,f,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Jamaica Plain,42.31885965,-71.11451513,t,House,Entire home/apt,8,1,3,4,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$275.00 ,$300.00 ,$100.00 ,3,9,24,54,320,f,strict
within a few hours,100%,100%,f,2,"['email', 'phone', 'reviews', 'jumio']",t,t,Jamaica Plain,42.31161875,-71.10910186,t,House,Entire home/apt,8,2.5,3,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$300.00 ,$500.00 ,$175.00 ,3,3,21,51,288,f,strict
N/A,N/A,N/A,f,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Jamaica Plain,42.30189019,-71.12908358,t,House,Entire home/apt,5,1.5,3,3,Real Bed,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$185.00 ,,$150.00 ,3,0,0,23,23,f,moderate
within an hour,100%,78%,f,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Jamaica Plain,42.31947423,-71.10981262,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$175.00 ,$100.00 ,$50.00 ,3,6,29,59,59,f,moderate
within a day,100%,100%,f,2,"['email', 'phone', 'reviews', 'jumio']",t,t,Jamaica Plain,42.31187523,-71.10988286,t,Apartment,Entire home/apt,5,1,2,3,Real Bed,"{""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$175.00 ,$200.00 ,$65.00 ,2,29,59,89,364,f,flexible
within an hour,100%,100%,t,4,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Jamaica Plain,42.29552807,-71.11929019,t,Apartment,Private room,2,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",$75.00 ,,,1,12,34,60,87,t,flexible
within an hour,100%,100%,f,2,"['email', 'phone', 'facebook', 'reviews']",t,f,Jamaica Plain,42.30963229,-71.11621848,t,Apartment,Private room,2,1,1,1,Pull-out Sofa,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""translation missing: en.hosting_amenity_50""}",$60.00 ,,$10.00 ,2,15,45,75,350,f,strict
within an hour,100%,100%,t,3,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.31321248,-71.10808728,t,Apartment,Entire home/apt,3,2,2,2,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,Breakfast,Heating,""Family/Kid Friendly"",Washer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$100.00 ,,,4,0,0,0,0,f,flexible
within a few hours,100%,100%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.32139007,-71.1088521,t,Townhouse,Private room,1,1,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers}",$75.00 ,,$25.00 ,2,6,6,27,27,f,moderate
within an hour,100%,97%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.31653899,-71.1043184,t,Townhouse,Entire home/apt,2,1,0,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$94.00 ,$200.00 ,$20.00 ,1,3,9,9,9,t,strict
within an hour,100%,97%,t,1,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,t,Jamaica Plain,42.3112337,-71.10343443,t,Townhouse,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""Lock on Bedroom Door"",Hangers,Iron}",$85.00 ,,$25.00 ,1,3,10,10,255,f,moderate
within a few hours,100%,100%,t,1,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.30512601,-71.11423328,f,Apartment,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,Iron}",$83.00 ,,,2,0,20,50,50,f,moderate
within an hour,100%,100%,f,5,"['email', 'phone', 'reviews', 'jumio']",t,t,Jamaica Plain,42.31039502,-71.11838026,t,Apartment,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Laptop Friendly Workspace""}",$75.00 ,,$12.00 ,1,0,0,4,163,t,strict
within an hour,100%,100%,f,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Jamaica Plain,42.30829329,-71.12399112,t,Apartment,Entire home/apt,6,2,3,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Hangers,Iron,""Laptop Friendly Workspace""}",$168.00 ,$350.00 ,$69.00 ,2,7,20,49,309,f,strict
within an hour,100%,100%,t,4,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Jamaica Plain,42.29444215,-71.11994538,t,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",$60.00 ,,,1,17,36,66,89,t,flexible
within an hour,100%,100%,t,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Jamaica Plain,42.31747806,-71.10819474,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_50""}",$135.00 ,$250.00 ,$40.00 ,2,8,12,28,303,t,strict
within a few hours,100%,92%,f,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Jamaica Plain,42.31299709,-71.10930512,t,Bed & Breakfast,Private room,2,1,1,1,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",$119.00 ,,,2,11,24,38,300,f,moderate
within an hour,100%,100%,f,2,"['email', 'phone']",t,f,Jamaica Plain,42.31633721,-71.10285592,t,Condominium,Entire home/apt,5,1,2,2,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$275.00 ,$300.00 ,$80.00 ,3,15,45,75,350,f,strict
within a few hours,100%,100%,f,1,"['email', 'phone', 'facebook', 'reviews']",t,f,Jamaica Plain,42.28801846,-71.11367911,f,House,Entire home/apt,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",$130.00 ,$300.00 ,$35.00 ,2,4,23,41,285,f,flexible
within a few hours,100%,60%,f,1,"['email', 'phone', 'facebook', 'reviews']",t,f,Jamaica Plain,42.31171249,-71.11818369,t,House,Entire home/apt,10,3.5,4,7,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$750.00 ,,$125.00 ,2,0,0,0,0,f,flexible
within an hour,100%,100%,f,1,"['email', 'phone', 'google', 'jumio']",t,t,Jamaica Plain,42.31798894,-71.10988165,f,Apartment,Entire home/apt,3,1,2,3,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",$160.00 ,$300.00 ,$50.00 ,2,0,0,15,290,t,moderate
within a few hours,100%,92%,t,1,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Jamaica Plain,42.32443218,-71.10789033,t,Condominium,Private room,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$65.00 ,$200.00 ,$15.00 ,3,0,6,29,119,f,moderate
within an hour,100%,100%,f,3,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,t,Jamaica Plain,42.31089358,-71.12243916,f,House,Private room,4,1,1,2,Futon,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",$77.00 ,,$10.00 ,2,3,29,49,128,f,moderate
within a few hours,100%,100%,t,1,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.31713375,-71.10965966,t,House,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",""translation missing: en.hosting_amenity_50""}",$71.00 ,,,3,3,11,35,295,f,moderate
N/A,N/A,N/A,f,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Jamaica Plain,42.30469509,-71.10730425,f,Townhouse,Entire home/apt,2,1.5,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$200.00 ,,,2,0,0,0,217,f,flexible
within a few hours,100%,90%,f,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Jamaica Plain,42.3234374,-71.11397537,t,Apartment,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",$55.00 ,$200.00 ,$30.00 ,2,0,0,30,305,f,moderate
within a day,100%,100%,f,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Jamaica Plain,42.32191936,-71.11047179,t,Apartment,Private room,2,2,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Hangers,""Laptop Friendly Workspace""}",$95.00 ,$100.00 ,$15.00 ,1,0,0,0,0,f,flexible
within a day,93%,73%,f,2,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.30931242,-71.11711989,t,Apartment,Entire home/apt,4,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$220.00 ,,$75.00 ,2,8,28,58,58,f,strict
N/A,N/A,N/A,f,0,"['email', 'phone', 'amex']",t,f,Jamaica Plain,42.30089711,-71.11196778,t,House,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$54.00 ,,,1,0,0,0,0,f,flexible
within an hour,100%,100%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Jamaica Plain,42.3077874,-71.11077967,f,Apartment,Private room,3,1,1,2,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,""Laptop Friendly Workspace""}",$72.00 ,$95.00 ,$15.00 ,1,9,39,69,344,f,moderate
